state_code,income_bucket,loan_purpose,median_loan_amount_male,median_loan_amount_female,median_interest_rate_male,median_interest_rate_female,approvals_male,approvals_female,loan_amount_gap_male_minus_female,interest_rate_gap_male_minus_female
MA,High,2,135000.0,115000.0,7.5,7.74,5486,2633,20000.0,-0.2400000000000002
CO,Low,31,165000.0,155000.0,7.25,7.25,623,688,10000.0,0.0
CT,High,32,265000.0,245000.0,6.99,6.99,1040,466,20000.0,0.0
WV,Middle,31,85000.0,105000.0,6.875,6.824999999999999,493,186,-20000.0,0.05000000000000071
AK,Low,32,185000.0,145000.0,6.625,6.625,111,75,40000.0,0.0
LA,Low,2,45000.0,55000.0,8.3,8.0,296,315,-10000.0,0.3000000000000007
VA,Middle,1,325000.0,305000.0,6.625,6.625,23152,14561,20000.0,0.0
IL,High,4,95000.0,85000.0,8.54,8.75,3523,1271,10000.0,-0.21000000000000085
OH,High,4,95000.0,85000.0,8.25,8.5,4547,1684,10000.0,-0.25
WA,Middle,2,75000.0,75000.0,8.24,8.0,4594,3078,0.0,0.2400000000000002
CO,High,32,305000.0,305000.0,7.4015,7.5,2854,1206,0.0,-0.09849999999999959
MI,High,4,105000.0,75000.0,8.385000000000002,8.38,3520,1369,30000.0,0.005000000000000782
FL,High,4,125000.0,105000.0,8.5,8.5,9712,3707,20000.0,0.0
NV,Middle,32,265000.0,225000.0,6.75,6.99,1818,969,40000.0,-0.2400000000000002
NV,High,4,105000.0,105000.0,9.08,8.870000000000001,1038,492,0.0,0.20999999999999908
IL,Middle,31,105000.0,115000.0,7.2,7.0,2513,1273,-10000.0,0.20000000000000018
WV,High,4,75000.0,75000.0,7.625,7.69,246,87,0.0,-0.06500000000000039
PR,High,4,440000.0,205000.0,6.375,6.5,20,6,235000.0,-0.125
VA,Low,1,205000.0,195000.0,6.625,6.625,10105,8271,10000.0,0.0
IA,Middle,32,125000.0,115000.0,6.75,6.799,1389,697,10000.0,-0.04900000000000038
WI,Middle,1,245000.0,245000.0,6.75,6.75,14353,8616,0.0,0.0
ID,Low,2,55000.0,55000.0,8.5,8.5,752,593,0.0,0.0
MI,Low,32,115000.0,105000.0,6.75,6.75,5017,4041,10000.0,0.0
IA,Low,32,95000.0,105000.0,6.625,6.625,1004,784,-10000.0,0.0
MS,Middle,4,55000.0,55000.0,8.5,8.5,1232,495,0.0,0.0
IN,Low,1,155000.0,145000.0,6.875,6.875,17489,13220,10000.0,0.0
WA,Middle,31,155000.0,145000.0,7.0,7.125,1756,1116,10000.0,-0.125
NY,Middle,31,125000.0,125000.0,6.875,6.75,3419,2119,0.0,0.125
UT,High,31,255000.0,205000.0,7.5,7.74,2431,742,50000.0,-0.2400000000000002
WV,Middle,2,55000.0,55000.0,7.75,7.995,560,204,0.0,-0.2450000000000001
