lender_id,controlled_groups,avg_gap_male_minus_female,avg_disparate_impact,male_favored_groups,female_favored_groups
5493005RDTT7HVODH436,11,-0.002228617262630017,1.0061436153562677,6.0,5.0
549300VN9E1DEKF26E34,13,0.0022100752450615988,1.0004557476413114,7.0,6.0
549300UXY7OP0IC38293,26,0.002119810277490223,0.997752897201707,15.0,11.0
549300J7XKT2BI5WX213,28,0.0019485482631284104,0.9996787991828757,18.0,10.0
549300FNXYY540N23N64,164,0.0019403128633726284,1.0812077491743044,85.0,79.0
6BYL5QZYBDK8S7L73M02,273,-0.0018825388415195637,1.0006840350119128,146.0,125.0
213800QUAI2VH5YM6310,16,-0.0018823870581498939,1.0039862808308793,6.0,10.0
549300J7I82PNDVU8H22,18,-0.001703740406660813,1.0103438623189345,8.0,10.0
5493001WHVQBGRSWEU75,33,0.0015273477178316213,1.0137696103121203,19.0,14.0
549300R9S3MVDV4MGF56,68,-0.0014383679469654811,1.0259292161678164,35.0,33.0
549300KER3YVZ3U5RK57,14,-0.001317349001465922,0.9978842919483313,6.0,8.0
549300H3IZO24NSOO931,53,0.0013041841611454374,1.0040410190507616,27.0,26.0
5493001HHBUTXHS7TZ96,14,-0.0012725788110463218,1.0080778604133296,6.0,8.0
JJKC32MCHWDI71265Z06,112,0.0010674035103333346,1.0073634727164698,55.0,57.0
549300BX448ALT10FI43,18,0.0009328149616431194,1.007895729808376,8.0,10.0
2WHM8VNJH63UN14OL754,104,0.0008712658861941382,0.9927285352480612,56.0,48.0
549300WTZMQSET2VY242,47,-0.0006867503379345286,1.003086350971927,21.0,26.0
5493005PKOSG7MYX0B34,54,0.0005942472854457128,1.0007601363871215,26.0,28.0
549300JYXTZDSPJEPI44,24,0.0005425202035892149,1.0007981235068097,10.0,14.0
549300MGPZBLQDIL7538,123,-0.00039615033505220577,1.0052917646103632,67.0,55.0
549300D003QRZFSQ4N43,10,-0.0003133975260443539,1.0103887711903947,6.0,4.0
549300ALNLUNS3Y53T24,19,0.0002569807282337586,1.1803852004904503,9.0,10.0
2549004FXPNKCLIN8250,11,0.00021299973723986167,1.0022572929768911,7.0,4.0
